stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000345,345,Pearse Street Garda Station,,53.345476,-6.256293,,,,
8220DB000350,350,Lombard Street East,,53.345632,-6.249768,,,,
8220DB000351,351,Erne Street,,53.3434182647907,-6.24530817378361,,,,
8220DB000352,352,Pearse Square,,53.342989,-6.242412,,,,
8220DB000353,353,Grand Canal Quay,,53.342645,-6.239798,,,,
8220DB000354,354,Ringsend Road,,53.3422358280174,-6.2364356898267,,,,
8220DB000355,355,Ringsend Depot,,53.341817,-6.233059,,,,
8220DB000356,356,Ringsend Village,,53.341903,-6.226717,,,,
8220DB000357,357,Irishtown Road,,53.339171,-6.223122,,,,
8220DB000358,358,Sean Moore Road,,53.339027,-6.21709,,,,
8220DB000369,369,Sean Moore Road,,53.340791,-6.212528,,,,
8220DB000371,371,Irishtown Road,,53.338613,-6.223055,,,,
8220DB000372,372,Star of the Sea,,53.3354881469499,-6.21965567144901,,,,
8220DB000373,373,Farney Park,,53.3342753312713,-6.21788927259654,,,,
8220DB000374,374,Sandymount,,53.3332284399006,-6.21640134211922,,,,
8220DB000375,375,Dromard Terrace,,53.3340611346518,-6.2143845130625,,,,
8220DB000381,381,St John's Church,,53.3243237661065,-6.21237419337667,,,,
8220DB000385,385,Newgrove Avenue,,53.332351,-6.211228,,,,
8220DB000387,387,Sandymount,,53.332499,-6.215741,,,,
8220DB000388,388,Farney Park,,53.334509,-6.21848,,,,
8220DB000389,389,Star of the Sea,,53.33529,-6.219634,,,,
8220DB000390,390,Tritonville Road,,53.3376299137845,-6.2222394793377,,,,
8220DB000391,391,Saint Brendan's Cottages,,53.340064,-6.223925,,,,
8220DB000392,392,Ringsend Village,,53.341734,-6.227415,,,,
8220DB000393,393,Tritonville Road,,53.336904,-6.222375,,,,
8220DB000395,395,Ringsend Road,,53.34194,-6.235277,,,,
8220DB000396,396,Grand Canal Quay,,53.342442,-6.239476,,,,
8220DB000397,397,Pearse Square,,53.342786,-6.242015,,,,
8220DB000398,398,Erne Street,,53.3432949350358,-6.24547844686789,,,,
8220DB000399,399,Pearse Street,,53.343867,-6.248309,,,,
8220DB000400,400,Shaw Street,,53.344849,-6.25339,,,,
8220DB000403,403,Nassau Street,,53.342714,-6.256706,,,,
8220DB000404,404,Nassau Street,,53.342663,-6.256348,,,,
